Date,Open,High,Low,Close,Volume,Change
2022-10-06,71600,72100,70800,71500,1587373,0.00562587904
2022-10-07,70800,71200,69900,71000,1458161,-0.00699300699
2022-10-11,68600,68700,66000,67400,2108101,-0.0507042254
2022-10-12,66700,68900,66700,68200,1359615,0.0118694362
2022-10-13,68500,69500,68200,68300,1361199,0.00146627566
2022-10-14,69700,69900,68200,69000,1086325,0.0102489019
2022-10-17,68300,69200,67400,68700,1036388,-0.00434782609
2022-10-18,70000,70400,67700,69100,1916863,0.0058224163
2022-10-19,68000,70600,68000,69000,1963016,-0.001447178
2022-10-20,68900,69200,67600,68400,1273562,-0.00869565217
2022-10-21,68300,68800,67500,67900,870846,-0.00730994152
2022-10-24,68100,68600,64800,65300,2361978,-0.0382916053
2022-10-25,65600,66300,64600,66300,2080083,0.0153139357
2022-10-26,67100,67100,64700,65500,1992922,-0.012066365
2022-10-27,65400,66300,65200,66000,1192464,0.00763358779
2022-10-28,65800,67100,65700,66200,1330594,0.00303030303
2022-10-31,66900,66900,65000,66300,1086997,0.00151057402
2022-11-01,66700,66800,66000,66300,1115507,0
2022-11-02,66000,66500,65000,66200,1433887,-0.00150829563
2022-11-03,65000,65600,64200,64500,2192426,-0.0256797583
2022-11-04,64300,65300,64300,65300,1147845,0.0124031008
2022-11-07,66100,67200,66000,67100,1737259,0.0275650842
2022-11-08,67700,67800,66500,67500,1594999,0.00596125186
2022-11-09,67700,68200,67200,67400,1568122,-0.00148148148
2022-11-10,66600,67800,66100,66600,1560538,-0.0118694362
2022-11-11,68300,68900,67500,68000,1727900,0.021021021
2022-11-14,68900,70700,68800,69900,2220166,0.0279411765
2022-11-15,70100,70200,68200,68500,1829393,-0.0200286123
2022-11-16,68900,69000,67600,67800,1189821,-0.0102189781
2022-11-17,67300,67600,66300,66300,1549193,-0.0221238938
2022-11-18,66600,66900,65800,66000,1278122,-0.00452488688
2022-11-21,65800,66000,64800,65200,1375558,-0.0121212121
2022-11-22,64700,65400,64600,65200,987141,0
2022-11-23,65700,66500,65200,66300,1166893,0.0168711656
2022-11-24,66800,67200,65800,65900,815880,-0.0060331825
2022-11-25,66000,66300,65300,65400,738533,-0.00758725341
2022-11-28,65300,66000,64800,65400,812308,0
2022-11-29,65500,67400,65500,67300,1411202,0.0290519878
2022-11-30,66800,68600,66600,68600,1970987,0.0193164933
2022-12-01,69000,69300,68300,68600,1086698,0
2022-12-02,68700,68800,66400,66500,1451053,-0.0306122449
2022-12-05,66800,66900,65200,65600,1148365,-0.0135338346
2022-12-06,65200,65600,65000,65100,825203,-0.00762195122
2022-12-07,65000,65400,64700,65000,743679,-0.00153609831
2022-12-08,65200,65300,64500,64700,1271219,-0.00461538462
2022-12-09,65100,65500,64700,65200,1011844,0.00772797527
2022-12-12,65100,65600,65000,65100,687218,-0.00153374233
2022-12-13,65300,65500,62100,62500,3121687,-0.0399385561
2022-12-14,62200,64100,61800,64100,1960769,0.0256
2022-12-15,63800,64800,63500,64100,878566,0
2022-12-16,63200,64400,63100,64100,1126438,0
2022-12-19,63700,63800,62000,62400,1296891,-0.0265210608
2022-12-20,62000,62500,60900,62400,1458403,0
2022-12-21,62600,62700,61600,62000,810736,-0.00641025641
2022-12-22,62000,63500,62000,63500,1004592,0.0241935484
2022-12-23,62600,63300,62500,62700,772642,-0.0125984252
2022-12-26,63100,63900,62700,63700,856734,0.0159489633
2022-12-27,64000,64300,63500,64100,1200679,0.00627943485
2022-12-28,62100,62100,60800,60900,1834051,-0.0499219969
2022-12-29,60500,60600,59300,59300,1172767,-0.026272578
2023-01-02,60600,62400,60500,61500,1548935,0.0370994941
2023-01-03,61400,62500,60600,62400,1238318,0.0146341463
2023-01-04,61500,62800,61500,62000,1051604,-0.00641025641
2023-01-05,61900,62200,60800,61100,1591393,-0.014516129
2023-01-06,60500,62100,60100,61500,1687827,0.00654664484
2023-01-09,61800,64300,61300,64100,2081818,0.0422764228
2023-01-10,64100,64400,63100,63900,920688,-0.0031201248
2023-01-11,64400,64400,63300,64200,947231,0.00469483568
2023-01-12,64600,64700,63900,63900,1374463,-0.0046728972
2023-01-13,64100,65800,64100,65300,1611359,0.0219092332
2023-01-16,64300,65000,63500,64600,1202348,-0.010719755
2023-01-17,65200,65500,64700,65000,1127634,0.00619195046
2023-01-18,65100,65300,63900,64700,1044133,-0.00461538462
2023-01-19,64000,64500,63800,64300,644579,-0.00618238022
2023-01-20,64300,64500,64000,64300,574744,0
2023-01-25,64900,65400,64800,65000,739046,0.0108864697
2023-01-26,65400,70000,65400,69300,4288992,0.0661538462
2023-01-27,69900,70000,67600,68700,3718257,-0.00865800866
2023-01-30,69300,70200,68500,68600,2368164,-0.00145560408
2023-01-31,69200,69200,66800,66800,1938157,-0.0262390671
2023-02-01,67700,69600,67400,69500,1858058,0.0404191617
2023-02-02,69900,70500,69000,69700,1930702,0.00287769784
